Date,Consumption,Price
2015-10-10,2.676479657,244.510468
2015-10-11,2.657874792,245.728105
2015-10-12,2.628638575,247.968202
2015-10-13,2.615349386,246.327044
2015-10-14,2.665848305,250.94498
2015-10-15,2.735227281,253.109233
2015-10-16,2.783513241,254.808467
2015-10-17,2.720143634,263.307075
2015-10-18,2.717933311,273.02095
2015-10-19,2.779573521,264.723178
2015-10-20,2.756047744,265.030491
2015-10-21,2.735229039,270.873073
2015-10-22,2.687569953,267.811006
2015-10-23,2.700874968,275.58681
2015-10-24,2.724823644,278.78217
2015-10-25,2.751432795,283.489442
2015-10-26,2.74877144,284.670332
2015-10-27,2.799329266,287.031072
2015-10-28,2.78602513,295.27047
2015-10-29,2.801972157,304.849329
2015-10-30,2.870753274,314.64625
2015-10-31,2.884877708,328.350947
2015-11-01,2.888718077,315.489281
2015-11-02,2.868609771,330.033308
2015-11-03,2.899179742,365.239184
2015-11-04,2.951037034,404.467665
2015-11-05,2.938510995,409.149336
2015-11-06,2.867769251,387.156225
2015-11-07,2.881374075,374.915252
2015-11-08,2.843282501,384.788729
2015-11-09,2.832399697,372.51
2015-11-10,2.807912069,379.755748
2015-11-11,2.858363511,337.811773
2015-11-12,2.924467447,313.437678
2015-11-13,2.990414884,336.959702
2015-11-14,2.985513314,337.125328
2015-11-15,3.067785837,333.363021
2015-11-16,3.160262417,320.338059
2015-11-17,3.191831166,331.338683
2015-11-18,3.15997228,336.002956
2015-11-19,3.088024266,335.033453
2015-11-20,3.108169499,326.259347
2015-11-21,3.200262745,322.032527
2015-11-22,3.234797933,327.083987
2015-11-23,3.206018903,324.485901
2015-11-24,3.27003033,323.2271
2015-11-25,3.300107946,319.830436
2015-11-26,3.468104752,329.066694
2015-11-27,3.410215232,353.4172
2015-11-28,3.398927114,358.325404
2015-11-29,3.377501758,357.360357
2015-11-30,3.423296929,371.334771
2015-12-01,3.461263655,377.106935
2015-12-02,3.502582791,362.69454
2015-12-03,3.394517899,359.260337
2015-12-04,3.458086206,361.419012
